Sl. No.,States,Number of Claims Received upto 30.11.2022 - Individual,Number of Claims Received upto 30.11.2022 - Community,Number of Claims Received upto 30.11.2022 - Total,Number of Titles Distributed upto 30.11.2022 - Individual,Number of Titles Distributed upto 30.11.2022 - Community,Number of Titles Distributed upto 30.11.2022 - Total,Number of Claims Rejected upto 30.11.2022 - Individual,Number of Claims Rejected upto 30.11.2022 - Community,Number of Claims Rejected upto 30.11.2022 - Total
1,Andhra Pradesh,281431,3294,284725,217981,1822,219803,53871,1435,55306
2,Assam,148965,6046,155011,57325,1477,58802,NA/NR,NA/NR,NA/NR
3,Bihar,8022,NA/NR,8022,121,0,121,4215,NA/NR,4215
4,Chhattisgarh,871457,50889,922346,446041,45764,491805,399341,2951,402292
5,Goa,9758,378,10136,472,13,485,42,NA/NR,42
6,Gujarat,182869,7187,190056,91686,4597,96283,57054,2243,59297
7,Himachal Pradesh,2746,275,3021,129,35,164,47,NA/NR,47
8,Jharkhand,107032,3724,110756,59866,2104,61970,26370,1737,28107
9,Karnataka,285874,5862,291736,14783,1344,16127,240794,3766,244560
10,Kerala,43889,940,44829,27637,190,27827,12183,301,12484
11,Madhya Pradesh,585326,42187,627513,266609,27976,294585,310508,12191,322699
12,Maharashtra,362679,12037,374716,165032,7084,172116,45188,337,45525
13,Odisha,629913,15430,645343,454454,7706,462160,142231,0,142231
14,Rajasthan,110670,2697,113367,48460,576,49036,60520,1939,62459
15,Tamil Nadu,33755,1082,34837,8144,450,8594,9407,86,9493
16,Telangana,204176,2808,206984,97434,102,97536,92744,1682,94426
17,Tripura,200557,164,200721,127931,101,128032,68785,63,68848
18,Uttar Pradesh,92577,1162,93739,18049,861,18910,74460,301,74761
19,Uttarakhand,3587,3091,6678,184,1,185,3403,3090,6493
20,West Bengal,131962,10119,142081,44444,686,45130,87333,9254,96587
Total,Total,4297245,169372,4466617,2146782,102889,2249671,1688496,41376,1729872
