State,District,Level,Name,TRU,No_HH_Head,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,,,,,
00,000,India,India,Total,21511528,104545716,52547215,51998501,16738830,8553722,8185108,51765473,30140649,21624824,52780243,22406566,30373677,50934005,28306866,22627139,33011148,21093719,11917429,13493163,9128548,4364615,11942352,6594358,5347994,440611,224116,216495,7135022,5146697,1988325,17922857,7213147,10709710,4143866,1709562,2434304,10671770,3998535,6673235,458156,136246,321910,2649065,1368804,1280261,14494739,5857705,8637034,3279006,1338649,1940357,8856665,3338482,5518183,334574,98881,235693,2024494,1081693,942801,3428118,1355442,2072676,864860,370913,493947,1815105,660053,1155052,123582,37365,86217,624571,287111,337460,53611711,24240349,29371362,,,,,
00,000,India,India,Rural,19302332,94083844,47263733,46820111,15398462,7862756,7535706,44761695,26321608,18440087,49322149,20942125,28380024,47044187,25673404,21370783,29819251,18825637,10993614,13318351,9008599,4309752,11600007,6392411,5207596,372054,185184,186870,4528839,3239443,1289396,17224936,6847767,10377169,4092509,1687593,2404916,10496766,3922138,6574628,427776,124592,303184,2207885,1113444,1094441,13926456,5557548,8368908,3238722,1321108,1917614,8715448,3275983,5439465,310997,89740,221257,1661289,870717,790572,3298480,1290219,2008261,853787,366485,487302,1781318,646155,1135163,116779,34852,81927,546596,242727,303869,47039657,21590329,25449328,,,,,
00,000,India,India,Urban,2209196,10461872,5283482,5178390,1340368,690966,649402,7003778,3819041,3184737,3458094,1464441,1993653,3889818,2633462,1256356,3191897,2268082,923815,174812,119949,54863,342345,201947,140398,68557,38932,29625,2606183,1907254,698929,697921,365380,332541,51357,21969,29388,175004,76397,98607,30380,11654,18726,441180,255360,185820,568283,300157,268126,40284,17541,22743,141217,62499,78718,23577,9141,14436,363205,210976,152229,129638,65223,64415,11073,4428,6645,33787,13898,19889,6803,2513,4290,77975,44384,33591,6572054,2650020,3922034,,,,,
01,000,State,JAMMU & KASHMIR,Total,260401,1493299,776257,717042,303118,158571,144547,601703,374225,227478,891596,402032,489564,533329,353254,180075,241087,196523,44564,97568,79480,18088,22120,19675,2445,4327,2610,1717,117072,94758,22314,292242,156731,135511,127944,60091,67853,65413,47731,17682,10061,2967,7094,88824,45942,42882,201829,112615,89214,87316,42480,44836,46412,35070,11342,6991,2341,4650,61110,32724,28386,90413,44116,46297,40628,17611,23017,19001,12661,6340,3070,626,2444,27714,13218,14496,959970,423003,536967,,,,,
01,000,State,JAMMU & KASHMIR,Rural,245038,1406833,730075,676758,291256,152383,138873,548224,342401,205823,858609,387674,470935,505106,332097,173009,220152,179969,40183,96369,78515,17854,21613,19256,2357,4117,2474,1643,98053,79724,18329,284954,152128,132826,126126,59318,66808,64411,47009,17402,9712,2796,6916,84705,43005,41700,196051,108883,87168,85946,41849,44097,45783,34601,11182,6676,2183,4493,57646,30250,27396,88903,43245,45658,40180,17469,22711,18628,12408,6220,3036,613,2423,27059,12755,14304,901727,397978,503749,,,,,
01,000,State,JAMMU & KASHMIR,Urban,15363,86466,46182,40284,11862,6188,5674,53479,31824,21655,32987,14358,18629,28223,21157,7066,20935,16554,4381,1199,965,234,507,419,88,210,136,74,19019,15034,3985,7288,4603,2685,1818,773,1045,1002,722,280,349,171,178,4119,2937,1182,5778,3732,2046,1370,631,739,629,469,160,315,158,157,3464,2474,990,1510,871,639,448,142,306,373,253,120,34,13,21,655,463,192,58243,25025,33218,,,,,
01,001,DISTRICT,Kupwara,Total,10498,70352,36913,33439,18539,9623,8916,22703,14586,8117,47649,22327,25322,15805,13329,2476,4488,3953,535,1009,910,99,814,723,91,139,59,80,2526,2261,265,11317,9376,1941,2396,1807,589,6332,5891,441,161,101,60,2428,1577,851,7699,6431,1268,1383,1167,216,4429,4098,331,97,70,27,1790,1096,694,3618,2945,673,1013,640,373,1903,1793,110,64,31,33,638,481,157,54547,23584,30963,,,,,
01,001,DISTRICT,Kupwara,Rural,10267,68491,35855,32636,18123,9400,8723,21791,13950,7841,46700,21905,24795,15396,12968,2428,4310,3787,523,1008,909,99,812,721,91,139,59,80,2351,2098,253,11086,9181,1905,2395,1806,589,6243,5807,436,158,98,60,2290,1470,820,7554,6319,1235,1383,1167,216,4412,4084,328,94,67,27,1665,1001,664,3532,2862,670,1012,639,373,1831,1723,108,64,31,33,625,469,156,53095,22887,30208,,,,,
01,001,DISTRICT,Kupwara,Urban,231,1861,1058,803,416,223,193,912,636,276,949,422,527,409,361,48,178,166,12,1,1,0,2,2,0,0,0,0,175,163,12,231,195,36,1,1,0,89,84,5,3,3,0,138,107,31,145,112,33,0,0,0,17,14,3,3,3,0,125,95,30,86,83,3,1,1,0,72,70,2,0,0,0,13,12,1,1452,697,755,,,,,
01,002,DISTRICT,Badgam,Total,3240,23912,12383,11529,6159,3103,3056,7349,4515,2834,16563,7868,8695,6877,4787,2090,3241,2921,320,1317,1217,100,626,582,44,82,44,38,1216,1078,138,3636,1866,1770,963,310,653,1735,991,744,158,57,101,780,508,272,3038,1646,1392,647,247,400,1590,912,678,142,53,89,659,434,225,598,220,378,316,63,253,145,79,66,16,4,12,121,74,47,17035,7596,9439,,,,,
